Analyzer3.ClearDataFlow calls XArray.XClear
  [MEM] Line 16012: 'part' allocated but not deallocated/returned in 'StrSplit'
  [MEM] Line 16041: 'part' allocated but not deallocated/returned in 'StrSplit'
  [MEM] Function 'ReadBinaryFile' called but not defined
  [MEM] Function 'StringToNumber' called but not defined
  [MEM] Function 'ProcessExit' called but not defined
  [MEM] Function 'XArray.XCapacity' defined but never called
  [MEM] Function 'XArray.XShift' defined but never called
  [MEM] Function 'XArray.XCopy' defined but never called
  [MEM] Function 'XArray.XContains' defined but never called
  [MEM] Function 'XArray.XInsertSorted' defined but never called
  [MEM] Function 'XArray.XBinarySearch' defined but never called
  [MEM] Function 'XArray.XLast' defined but never called
  [MEM] Function 'XArray.XFirst' defined but never called
  [MEM] Function 'XArray.XIsEmpty' defined but never called
  [MEM] Function 'XArray.XResize' defined but never called
  [MEM] Function 'XArray.XInsertAddr' defined but never called
  [MEM] Function 'XArray.XGetAddr' defined but never called
  [MEM] Function 'XArray.XDeleteAddr' defined but never called
  [MEM] Function 'XStack.XCreate' defined but never called
  [MEM] Function 'XStack.XPush' defined but never called
  [MEM] Function 'XStack.XPop' defined but never called
  [MEM] Function 'XStack.XPeek' defined but never called
  [MEM] Function 'XStack.XIsEmpty' defined but never called
  [MEM] Function 'XQueue.XCreate' defined but never called
  [MEM] Function 'XQueue.XEnqueue' defined but never called
  [MEM] Function 'XQueue.XDequeue' defined but never called
  [MEM] Function 'XQueue.XDestroy' defined but never called
  [MEM] Function 'XHash.XCreate' defined but never called
  [MEM] Function 'XHash.XInsert' defined but never called
  [MEM] Function 'XHash.XLookup' defined but never called
  [MEM] Function 'XHash.XDestroy' defined but never called
  [MEM] Function 'XSHash.XExists' defined but never called
  [MEM] Function 'XSHash.XDelete' defined but never called
  [MEM] Function 'XSHash.XInsertAddr' defined but never called
  [MEM] Function 'XSHash.XExistsAddr' defined but never called
  [MEM] Function 'XSHash.XDeleteAddr' defined but never called
  [MEM] Function 'XList.XCreate' defined but never called
